ItemName,Function,adjacentFunc
$m12efc50,"""[$m12efcst] x 50.0""",['$m12efcst']
$p12efc50,"""[$p12efcst] x 50.0""",['$p12efcst']
$j12efc50,"""[$j12efcst] x 50.0""",['$j12efcst']
$kipper,"""([$esgscale] - [$esgscale mean within portfolio: ALLESG]) / [$esgscale stddev within portfolio: ALLESG]""",['$esgscale']
$zesgscal,"""([$esgscale] - [$esgscale mean within portfolio: ALLESG]) / [$esgscale stddev within portfolio: ALLESG]""",['$esgscale']
$jj96fcst,"""if([$jj97fcst],[$jj97fcst],[$fd82fcst])""",['$fd82fcst' '$jj97fcst']
$jj94fcst,"""if([$jj95fcst],[$jj95fcst],[$ge11fcst])""",['$ge11fcst' '$jj95fcst']
$util12m,"""0.0""",[]
$empbroe,"""((1.0 / [$msbp]) - (1.0 / [$msbp in MEMERGEF INDEX wtd_mean within portfolio: MEMERGEF INDEX]) - [$MSROE])""",['$MSROE' '$msbp']
$emsizeAA,"""if(screen(score: 2 by $ciqmcap2 within portfolio: MEMERGEF INDEX = 1),1.0,0.0)""",['$ciqmcap2']
$chd3fcst,"""[$fhd3fcst] x 50.0""",['$fhd3fcst']
$jj90fcst,"""if([$jj91fcst],[$jj91fcst],[$ge11fcst])""",['$ge11fcst' '$jj91fcst']
$gd01fcst,"""[$gn06fcst] | [$gp09fcst] | [$gj07fcst] | [$ge1afcst] | [$NA]""",['$NA' '$ge1afcst' '$gj07fcst' '$gn06fcst' '$gp09fcst']
$lcmfor0,"""if([$lcmforev],[$lcmforev],0.0)""",['$lcmforev']
$gd13fcst,"""[$gl1ffcst] | [$e12kfraw]""",['$e12kfraw' '$gl1ffcst']
$GDCsize,"""if(screen(HOLDINGS in GDLCUNIV > 0),1.0,[$NA])""",['$NA']
$mlmuniv,"""if(screen(HOLDINGS in MLMUNIV > 0),1.0,0.0)""",[]
$GALCsize,"""if(screen(HOLDINGS in GALCUNIV > 0),1.0,[$NA])""",['$NA']
$cst3fcst,"""[$bst3fcst] x 50.0""",['$bst3fcst']
$ch16fcst,"""[$fh16fcst] x 50.0""",['$fh16fcst']
$jcACE75,"""[$jcACE1M] + 0.68 x [$jcACEstd]""",['$jcACE1M' '$jcACEstd']
$edvolty,"""([VOLTY] - [VOLTY mean within portfolio]) / [VOLTY stddev within portfolio]""",[]
$ZMomWD,"""([MOMENTUM] - [MOMENTUM wtd_median within portfolio: MSWORLD INDEX]) / [MOMENTUM wtd_stddev within portfolio: MSWORLD INDEX]""",[]
$ZBPWD,"""([BP] - [BP wtd_median within portfolio: MSWORLD INDEX]) / [BP wtd_stddev within portfolio: MSWORLD INDEX]""",[]
$ZEPWD,"""([EP] - [EP wtd_median within portfolio: MSWORLD INDEX]) / [EP wtd_stddev within portfolio]""",[]
$ZlnMCAPW,"""([LNMCAP] - [LNMCAP wtd_median within portfolio: MSWORLD INDEX]) / [LNMCAP wtd_stddev within portfolio: MSWORLD INDEX]""",[]
$qtangbpn,"""[$qtngbook] / [$ciqmcap2]""",['$ciqmcap2' '$qtngbook']
$qlcmpen2,"""([$qpenf] | [$qpenf on PDM-1] | [$qpenf on PDM-2]) / [$ciqmcap2]""",['$ciqmcap2' '$qpenf']
$qlcmpen3,"""if(screen($qpenb = N.A.),0.0,[$qpenb] / [$ciqmcap2])""",['$ciqmcap2' '$qpenb']
$qlcmroi2,"""[$qebit] / ([$ciqmcap2] + [$qdebt])""",['$ciqmcap2' '$qdebt' '$qebit']
$qlcmlia2,"""[$qliab] / [$ciqmcap2]""",['$ciqmcap2' '$qliab']
$msesgchb,"""[$msesgInd] - [$msesgInd on PDY-1]""",['$msesgInd']
$qlcmfre2,"""[$qlcmfrev] | [$qlcmfrev on PDM-4]""",['$qlcmfrev']
$cb01fcst,"""[$gb01fcst] x 50.0""",['$gb01fcst']
$jj88fcst,"""if([$jj89fcst],[$jj89fcst],[$ge11fcst])""",['$ge11fcst' '$jj89fcst']
$GDSCsize,"""if(screen(HOLDINGS in GSCUNIV3 > 0),1.0,[$NA])""",['$NA']
$NAMsizeL,"""if(screen(HOLDINGS in NALCUNI2 > 0),1.0,[$NA])""",['$NA']
$ch20fcst,"""[$fh20fcst] x 50.0""",['$fh20fcst']
$NAMsizeS,"""if(screen(HOLDINGS in NASCUNI2 > 0),1.0,[$NA])""",['$NA']
$ch22fcst,"""[$fh22fcst] x 50.0""",['$fh22fcst']
$cl34fcst,"""[$ml34fcst] x 50.0""",['$ml34fcst']
$JSCsize,"""if(screen(HOLDINGS in JSCUNIV2 > 0),1.0,[$NA])""",['$NA']
$scw1fcst,"""([$scn1fcst] | [$scE1fcst] | [$scp1fcst] | [$scJ1fcst] | [$scM1fcst])""",['$scE1fcst' '$scJ1fcst' '$scM1fcst' '$scn1fcst' '$scp1fcst']
$PSCsize,"""if(screen(HOLDINGS in PSCUNIV2 > 0),1.0,[$NA])""",['$NA']
$gr02fcst,"""[$ae01fcst] | [$gj7Lfcst] | [$gp9Lfcst] | [$gn6Afcst] | [$NA]""",['$NA' '$ae01fcst' '$gj7Lfcst' '$gn6Afcst' '$gp9Lfcst']
$gr2Sfcst,"""[$ae1sfcst] | [$gj7Sfcst] | [$gp9Sfcst] | [$gn6Afcst] | [$NA]""",['$NA' '$ae1sfcst' '$gj7Sfcst' '$gn6Afcst' '$gp9Sfcst']
$gd2Afcst,"""[$gd02fcst] | [$gd2sfcst] | [$NA]""",['$NA' '$gd02fcst' '$gd2sfcst']
$EdTest,"""if(screen(COUNTRY = HONGK),10.0,0.0)""",[]
$tbGREEC,"""if(screen(COUNTRY = GREEC),4.0,0.0)""",[]
$tsGREEC,"""if(screen(COUNTRY = GREEC),19.0,0.0)""",[]
$tbHONGK,"""if(screen(COUNTRY = HONGK),10.80,0.0)""",[]
$tsHONGK,"""if(screen(COUNTRY = HONGK),10.80,0.0)""",[]
$tbIRELD,"""if(screen(COUNTRY = IRELD),100.0,0.0)""",[]
$tbUK,"""if(screen(COUNTRY = UK & CNTYMS <> RUSSI),50.0,0.0)""",[]
$tbBRAZL,"""if(screen(COUNTRY = BRAZL),3.450,0.0)""",[]
$tsBRAZL,"""if(screen(COUNTRY = BRAZL),3.45,0.0)""",[]
$tbINDON,"""if(screen(COUNTRY = INDON),4.0,0.0)""",[]
$tsINDON,"""if(screen(COUNTRY = INDON),14.0,0.0)""",[]
$tbPHILI,"""if(screen(COUNTRY = PHILI),1.0,0.0)""",[]
$tsPHILI,"""if(screen(COUNTRY = PHILI),51.0,0.0)""",[]
$tbSAFR,"""if(screen(COUNTRY = SAFR),25.0,0.0)""",[]
$tsTAIWN,"""if(screen(COUNTRY = TAIWN),30.0,0.0)""",[]
$tbTHAI,"""if(screen(COUNTRY = THAI),1.40,0.0)""",[]
$tsTHAI,"""if(screen(COUNTRY = THAI),1.40,0.0)""",[]
$taxbuy,"""[$tbGREEC] + [$tbHONGK] + [$tbIRELD] + [$tbUK] + [$tbBRAZL] + [$tbINDON] + [$tbPHILI] + [$tbSAFR] + [$tbTHAI] + [$tbFRANC] + [$tbIndia] + [$tbEGYPT] + [$tbCHINA]""","['$tbBRAZL' '$tbCHINA' '$tbEGYPT' '$tbFRANC' '$tbGREEC' '$tbHONGK'
 '$tbINDON' '$tbIRELD' '$tbIndia' '$tbPHILI' '$tbSAFR' '$tbTHAI' '$tbUK']"
$taxsell,"""[$tsGREEC] + [$tsHONGK] + [$tsBRAZL] + [$tsINDON] + [$tsKOREA] + [$tsPHILI] + [$tsTAIWN] + [$tsTHAI] + [$tsEGYPT] + [$tsCHINA]""","['$tsBRAZL' '$tsCHINA' '$tsEGYPT' '$tsGREEC' '$tsHONGK' '$tsINDON'
 '$tsKOREA' '$tsPHILI' '$tsTAIWN' '$tsTHAI']"
$tsKOREA,"""if(screen(COUNTRY = KOREA),30.0,0.0)""",[]
$scwafcst,"""([$scnafcst] | [$sceafcst] | [$scpafcst] | [$scjafcst] | [$scmafcst]) x 35.0""",['$sceafcst' '$scjafcst' '$scmafcst' '$scnafcst' '$scpafcst']
$emcomtxb,"""[$taxbuy] + 10.0""",['$taxbuy']
$emcomtxs,"""[$taxsell] + 10.0""",['$taxsell']
$qlcmfr2,"""[$qlcmfrev] | [$qlcmfrev on PDM-6] | [$qlcmfrev on PDM-12]""",['$qlcmfrev']
$tbFRANC,"""if(screen(COUNTRY = FRANC),20.0,0.0)""",[]
$MAXCEM,"""if(screen($MUSDREG = N.A.),1.0,[$MUSDREG])""",['$MUSDREG']
$AUSDCNTY,"""[$AVGCUSD group: CNTYMS median within portfolio: EMUNIV10]""",['$AVGCUSD']
$AUSDREG,"""if(screen($AUSDCNTY = N.A.),[$AVGCUSD group: $gregion3 median within portfolio: EMUNIV10],[$AUSDCNTY])""",['$AUSDCNTY' '$AVGCUSD' '$gregion3']
$AVGCEM,"""if(screen($AUSDREG = N.A.),1.0,[$AUSDREG])""",['$AUSDREG']
$j12zfcst,"""([$jp12fcst] - [$jp12fcst mean within portfolio: MSJAPAN INDEX]) / ([$jp12fcst stddev within portfolio: MSJAPAN INDEX])""",['$jp12fcst']
$ss00fcst,"""[$sc00fcst] x 50.0""",['$sc00fcst']
$yl40fcst,"""[$ml40fcst] x 50.0""",['$ml40fcst']
$volMOC,"""if([$ITGmoc],if(screen(CNTYMS <> CHILE,CHINA,COLOM,EGYPT,HONGK,INDIA,PERU,QATAR,KOREA,UAE),[$ITGmoc] x [MEDVOL 21 hi:6],[MEDVOL 21 hi:6] x 100.0 x 0.060),[MEDVOL 21 hi:6] x 100.0 x 0.060)""",['$ITGmoc']
$globmom,"""[$nn2mom] | [$ne2mom] | [$nj2mom] | [$np2mom] | [$nm2mom]""",['$ne2mom' '$nj2mom' '$nm2mom' '$nn2mom' '$np2mom']
$EdRtst,"""[$MAXCUSD group: CNTYMS mean within portfolio: EMUNIV10]""",['$MAXCUSD']
$EdRRegT,"""if(screen($EdRtst = N.A.),[$MAXCUSD group: $gregion3 mean within portfolio: EMUNIV10],[$EdRtst])""",['$EdRtst' '$MAXCUSD' '$gregion3']
$EdRRegT2,"""if(screen($EdRRegT = N.A.),1.0,[$EdRRegT])""",['$EdRRegT']
$yb12fcst,"""[$gb12fcst] x 50.0""",['$gb12fcst']
$yb10fcst,"""[$gb10fcst] x 50.0""",['$gb10fcst']
$yc21fcst,"""[$sc21fcst] x 50.0""",['$sc21fcst']
$cdsMean,"""if(screen(HOLDINGS in NAMUNIV2 > 0),[$distresp mean within portfolio: NA12LG],if(screen(HOLDINGS in EACUNIV3 > 0),[$distresp mean within portfolio: ELCUNIV3],if(screen(HOLDINGS in EMUNIV10 > 0),[$distresp mean within portfolio: EMUNIV10],if(screen(HOLDINGS in PLCUNIV2 > 0),[$distresp mean within portfolio: PLCUNIV2],if(screen(HOLDINGS in JLCUNIV2 > 0),[$distresp mean within portfolio: JLCUNIV2],[$NA])))))""",['$NA' '$distresp']
$MUSDCNTY,"""[$MAXCUSD group: CNTYMS median within portfolio: EMUNIV10]""",['$MAXCUSD']
$MUSDREG,"""if(screen($MUSDCNTY = N.A.),[$MAXCUSD group: $gregion3 median within portfolio: EMUNIV10],[$MUSDCNTY])""",['$MAXCUSD' '$MUSDCNTY' '$gregion3']
$yc27fcst,"""[$sc27fcst] x 50.0""",['$sc27fcst']
$jcROE,"""[$qni] / [$qbook]""",['$qbook' '$qni']
$jcroeN,"""([$jcROE] - [$jcROE median within benchmark]) / [$jcROE stddev within benchmark]""",['$jcROE']
$gd0302nr,"""abs([$gd03nmrm] - [$gd02nmrm])""",['$gd02nmrm' '$gd03nmrm']
$gd02nrAV,"""abs([$gd02nmrm])""",['$gd02nmrm']
$ga0100nr,"""abs([$ga01nmrm] - [$ga00nmrm])""",['$ga00nmrm' '$ga01nmrm']
$PlorMN,"""([PMKVAL] - [PMKVAL in BENCHMARK]) / abs(([PMKVAL] - [PMKVAL in BENCHMARK]))""",[]
$ovrtest,"""if(screen($PlorMN = -1),[PMKVAL],[PMKVAL in BENCHMARK])""",['$PlorMN']
$zemmcap,"""([MCAP] - [MCAP mean within portfolio: MEMERGEF INDEX]) / [MCAP stddev within portfolio: MEMERGEF INDEX]""",[]
$gd3s2snr,"""abs([$gd3snmrm] - [$gd2snmrm])""",['$gd2snmrm' '$gd3snmrm']
$emerv3p,"""if(screen($NUMUPFY1 = N.A.),[$emerev3 on LEM-1],[$emerev3])""",['$NUMUPFY1' '$emerev3']
$qlcmfrv3,"""if([$qlcmfrv2],[$qlcmfrv2],0.0)""",['$qlcmfrv2']
$empayout,"""[$MSGRUYLD] / (100.0 x [$MSEP])""",['$MSEP' '$MSGRUYLD']
$jcInMcap,"""[$utilavIV] / [$ciqmcap2]""",['$ciqmcap2' '$utilavIV']
$rssec7,"""[$relstr3m] - if(screen($namsize2 = 1),[$relstr3m group: MSINDGRP median within portfolio: NA12LG],[$relstr3m group: MSINDGRP median within portfolio: NA12SM])""",['$namsize2' '$relstr3m']
$qlcmbp2,"""[$qbook] / [$ciqmcap2]""",['$ciqmcap2' '$qbook']
$qtangbp3,"""[$qtngbook] / [$ciqmcap2]""",['$ciqmcap2' '$qtngbook']
$qtangbp4,"""if(screen($qtangbp3 = N.A.),[$qlcmbp2],[$qtangbp3])""",['$qlcmbp2' '$qtangbp3']
$qEBITEV,"""[$qebit] / ([$ciqmcap2] + [$qdebt])""",['$ciqmcap2' '$qdebt' '$qebit']
$qpenliab,"""if(screen($qpenb = N.A.),0.0,[$qpenb] / [$ciqmcap2])""",['$ciqmcap2' '$qpenb']
$qLeverge,"""[$qliab] / [$ciqmcap2]""",['$ciqmcap2' '$qliab']
$qpenAsst,"""([$qpenf] | [$qpenf on PDM-1] | [$qpenf on PDM-2] | 0.0) / [$ciqmcap2]))""",['$ciqmcap2' '$qpenf']
$qpensAst,"""([$qpenf] | [$qpenf on PDM-1] | [$qpenf on PDM-2] | 0.0) / ([$ciqmcap2])""",['$ciqmcap2' '$qpenf']
$wg07fcst,"""[$gn07fcst] | [$gj08fcst] | [$gp10fcst] | [$ge12fcst] | [$NA]""",['$NA' '$ge12fcst' '$gj08fcst' '$gn07fcst' '$gp10fcst']
$jcChgCpx,"""([$qcapxrev] - [$qcapxrev on PDY-1]) / [$qcapxrev on PDY-1]""",['$qcapxrev']
$soTest,"""[$boolnQty on PDD-3]""",['$boolnQty']
$jcTest,"""[$boolnQty on PDD-2]""",['$boolnQty']
$ibtorp,"""([$ibmnwest] - [$IBepsAct]) / [PRICE]""",['$IBepsAct' '$ibmnwest']
$wg7wfcst,"""[$gn7wfcst] | [$gj8wfcst] | [$gp1wfcst] | [$ge1wfcst] | [$NA]""",['$NA' '$ge1wfcst' '$gj8wfcst' '$gn7wfcst' '$gp1wfcst']
$wg8wfcst,"""[$gn8wfcst] | [$ge2wfcst] | [$gj9wfcst] | [$gp2wfcst] | [$NA]""",['$NA' '$ge2wfcst' '$gj9wfcst' '$gn8wfcst' '$gp2wfcst']
$jcRevReg,"""(100.0 - [$jcRevNA]) | (100.0 - [$jcRevEur]) | 0.0""",['$jcRevEur' '$jcRevNA']
$sqrtwt,"""sqrt([PMKVAL in MSWORLDG INDEX])""",[]
$brtstdel,"""(0.50 x [$ii19fcst]) + ([$ii19fcst on PDM-1] / 3.0) + ([$ii19fcst on PDM-2] / 6.0)""",['$ii19fcst']
$rssec8,"""if([$rssec7],if(screen($rssec7 > -99),[$rssec7],-99.0),[$rssec7])""",['$rssec7']
$TRtwestg,"""[$TRtWest] / [$TRtWest on PDD-5] - 1.0""",['$TRtWest']
$qmntwesg,"""[$qmntwest] / [$qmntwest on PDD-5] - 1.0""",['$qmntwest']
$qpenAstL,"""if(screen(HOLDINGS in NA12LG > 0),[$qpensAst],0.0)""",['$qpensAst']
$tbIndia,"""if(screen(COUNTRY = INDIA),12.50,0.0)""",[]
$rssec8TR,"""log(1.0 + ([$rssec8] / 100.0))""",['$rssec8']
$3yrMomTR,"""log(1.0 + ([$3yrmomE] / 100.0))""",['$3yrmomE']
$MomTR,"""log(1.0 + ([$1yrMomEM] / 100.0))""",['$1yrMomEM']
$qpnASTTR,"""log(if(screen($qpenAstL < 0.007),0.0070,[$qpenAstL]))""",['$qpenAstL']
$qpAstW,"""([$qpensAst] - [$qpensAst median within portfolio]) / [$qpensAst stddev within portfolio]""",['$qpensAst']
$1wRett,"""[RETTC from PDD-6 to PDD-1]""",[]
$1mRett,"""[RETTC from PDM-1 to PDD-1]""",[]
$qLevTR,"""log(if(screen($qLeverge < 0.007),0.0070,[$qLeverge]))""",['$qLeverge']
$vol26wTR,"""log(if(screen($vol26w < 0.007),0.0070,[$vol26w]))""",['$vol26w']
$qtorpat4,"""0.0""",[]
$namsize2,"""if(screen(HOLDINGS in MSCANAD INDEX > 0),1.0,if(screen($lacsize2 = 1),1.0,0.0))""",['$lacsize2']
$epsgrow1,"""if(screen(EPSY on PDY-1 > 0),([EPSY] / [EPSY on PDY-1] - 1.0) x 100.0,0.0)""",[]
$epsgrow3,"""if(screen(EPSY on PDY-3 > 0),([EPSY] / [EPSY on PDY-3] - 1.0) x 100.0,0.0)""",[]
$fwdpe,"""[PRICE] / [$ibmnwest]""",['$ibmnwest']
$stmom2,"""if(screen( {HOLDINGS in NAMLM > 0 | HOLDINGS in EMOTHMLM > 0}),[$rssec6],[$3mMoAdj2])""",['$3mMoAdj2' '$rssec6']
$3madj2TR,"""log(1.0 + ([$3mMoAdj2] / 100.0))""",['$3mMoAdj2']
$ciqmTR,"""log([$ciqmcap2])""",['$ciqmcap2']
$qpenlTR,"""log(if(screen($qpenliab < 0.007),0.0070,[$qpenliab]))""",['$qpenliab']
$hiRebate,"""0.0""",[]
$ShrtInt,"""[$DlrShrt] / [$ciqmcap2]""",['$DlrShrt' '$ciqmcap2']
$dyscvr,"""10000.0 x [$DlrShrt] / [$medvol21]""",['$DlrShrt' '$medvol21']
$lacsize2,"""if([$lacsize],[$lacsize],0.0)""",['$lacsize']
$roejp,"""if(screen(HOLDINGS in JLCUNIV2 <> 0),([$jcROE] - [$jcROE median within portfolio: JLCUNIV2]) / [$jcROE stddev within portfolio: JLCUNIV2],0.0)""",['$jcROE']
$roepac,"""if(screen(HOLDINGS in PLCUNIV2 <> 0),([$jcROE] - [$jcROE median within portfolio: PLCUNIV2]) / [$jcROE stddev within portfolio: PLCUNIV2],0.0)""",['$jcROE']
$roena,"""if(screen(HOLDINGS in NA12LG <> 0),([$jcROE] - [$jcROE median within portfolio: NA12LG]) / [$jcROE stddev within portfolio: NA12LG],0.0)""",['$jcROE']
$roeeu,"""if(screen(HOLDINGS in ELCUNIV3 <> 0),([$jcROE] - [$jcROE median within portfolio: ELCUNIV3]) / [$jcROE stddev within portfolio: ELCUNIV3],0.0)""",['$jcROE']
$roeregn,"""[$roejpw] + [$roepacw] + [$roenaw] + [$roeeuw]""",['$roeeuw' '$roejpw' '$roenaw' '$roepacw']
$ch3darm,"""[$WSM_ARMG] - [$WSM_ARMG on PDD-3]""",['$WSM_ARMG']
$ss52fcst,"""[$sc52fcst] x 50.0""",['$sc52fcst']
$edreojp,"""if(screen( $roejp > 3 | $roejp < -3),3.0 x [$roejp] / abs([$roejp]),[$roejp])""",['$roejp']
$roejpw,"""if(screen( $roejp > 3 | $roejp < -3),3.0 x [$roejp] / abs([$roejp]),[$roejp])""",['$roejp']
$qpenTR,"""log(if(screen($qpenliab < 0.007),0.0070,[$qpenliab]))""",['$qpenliab']
$roeeuw,"""if(screen( $roeeu > 3 | $roeeu < -3),3.0 x [$roeeu] / abs([$roeeu]),[$roeeu])""",['$roeeu']
$gw12fcst,"""[$csN6fcst] | [$csE5fcst] | [$csJ3fcst] | [$csp3fcst] | [$csM5fcst]""",['$csE5fcst' '$csJ3fcst' '$csM5fcst' '$csN6fcst' '$csp3fcst']
$roepacw,"""if(screen( $roepac > 3 | $roepac < -3),3.0 x [$roepac] / abs([$roepac]),[$roepac])""",['$roepac']
$roenaw,"""if(screen( $roena > 3 | $roena < -3),3.0 x [$roena] / abs([$roena]),[$roena])""",['$roena']
$EdGbfcst,"""[$fi16fcst] | [$gj2wfcst] | [$ap1wfcst] | [$wgn2fcst] | [$fi18fcst] | [$NA]""",['$NA' '$ap1wfcst' '$fi16fcst' '$fi18fcst' '$gj2wfcst' '$wgn2fcst']
$tbItaly,"""if(screen(COUNTRY = ITALY),12.0,0.0)""",[]
$wsm_fix,"""[$wsm_new]""",['$wsm_new']
$jcScreen,"""if(screen($jcFScore = 9 & $WSM_ARMG > 60 & $vol26w < portfolio: RUSS2000 INDEX median by stddev 1.000),1.0,0.0)""",['$WSM_ARMG' '$jcFScore' '$vol26w']
$jcscren2,"""if(screen($jcFScore = 9 & $WSM_ARMG > 70 & $vol26w < portfolio: RUSS2000 INDEX mean by stddev 1.000 & $Stareq > 70),1.0,0.0)""",['$Stareq' '$WSM_ARMG' '$jcFScore' '$vol26w']
$epsyTorp,"""([$ibmnwest] - [EPSY]) / [PRICE]""",['$ibmnwest']
$bpnorm,"""([$msbp] - [$msbp mean within portfolio: MEMERGEF INDEX]) / [$msbp stddev within portfolio: MEMERGEF INDEX]""",['$msbp']
$ss57fcst,"""([$sc57fcst] | [$m12ffcst]) x 50.0""",['$m12ffcst' '$sc57fcst']
$1YrForPE,"""[PRICE] / [$qmntwest]""",['$qmntwest']
$1qlcmcfp,"""1.0 / [$qlcmcfp]""",['$qlcmcfp']
$govownpx,"""([$realmcap] - [MCAP]) / [$realmcap]""",['$realmcap']
$nonGCc,"""if(screen($CSFee <= group: CNTYMS median within portfolio: GLCUNIV3),if(screen($CSFee < portfolio: MEURO14 INDEX median by factor 1.500),0.0,1.0),1.0)""",['$CSFee']
$ch3marm,"""[$WSM_ARMG] - [$WSM_ARMG on PDM-3]""",['$WSM_ARMG']
$tkINDIA,"""if(screen(COUNTRY = INDIA),25.0,0.0)""",[]
$tkBRAZL,"""if(screen(COUNTRY = BRAZL),25.0,0.0)""",[]
$tkCHILE,"""if(screen(COUNTRY = CHILE),30.0,0.0)""",[]
$tkCHINA,"""if(screen(COUNTRY = CHINA),65.0,0.0)""",[]
$tkCOLOM,"""if(screen(COUNTRY = COLOM),100.0,0.0)""",[]
$tkCZECH,"""if(screen(COUNTRY = CZECH),50.0,0.0)""",[]
$tkEGYPT,"""if(screen(COUNTRY = EGYPT),50.0,0.0)""",[]
$tkHONGK,"""if(screen(COUNTRY = HONGK),25.0,0.0)""",[]
$tkHUNGR,"""if(screen(COUNTRY = HUNGR),65.0,0.0)""",[]
$tkINDON,"""if(screen(COUNTRY = INDON),35.0,0.0)""",[]
$tkMALAY,"""if(screen(COUNTRY = MALAY),25.0,0.0)""",[]
$tkMEXIC,"""if(screen(COUNTRY = MEXIC),15.0,0.0)""",[]
$tkMOROC,"""if(screen(COUNTRY = MOROC),100.0,0.0)""",[]
$tkPHILI,"""if(screen(COUNTRY = PHILI),35.0,0.0)""",[]
$tkPOLND,"""if(screen(COUNTRY = POLND),35.0,0.0)""",[]
$tkRUSSI,"""if(screen(COUNTRY = RUSSI),120.0,0.0)""",[]
$tkSAFR,"""if(screen(COUNTRY = SAFR),30.0,0.0)""",[]
$tkKOREA,"""if(screen(COUNTRY = KOREA),30.0,0.0)""",[]
$tkTAIWN,"""if(screen(COUNTRY = TAIWN),50.0,0.0)""",[]
$tkTHAI,"""if(screen(COUNTRY = THAI),35.0,0.0)""",[]
$tkTURKY,"""if(screen(COUNTRY = TURKY),25.0,0.0)""",[]
$tkUK,"""if(screen(COUNTRY = UK),10.0,0.0)""",[]
$tkUS,"""if(screen(COUNTRY = US),3.0,0.0)""",[]
$tkASTRL,"""if(screen(COUNTRY = ASTRL),25.0,0.0)""",[]
$tkASTRI,"""if(screen(COUNTRY = ASTRI),25.0,0.0)""",[]
$tkBELGM,"""if(screen(COUNTRY = BELGM),25.0,0.0)""",[]
$tkCANAD,"""if(screen(COUNTRY = CANAD),20.0,0.0)""",[]
$tkDNMRK,"""if(screen(COUNTRY = DNMRK),25.0,0.0)""",[]
$tkFINLD,"""if(screen(COUNTRY = FINLD),25.0,0.0)""",[]
$tkFRANC,"""if(screen(COUNTRY = FRANC),25.0,0.0)""",[]
$tkGERMN,"""if(screen(COUNTRY = GERMN),20.0,0.0)""",[]
$tkGREEC,"""if(screen(COUNTRY = GREEC),25.0,0.0)""",[]
$tkIRELD,"""if(screen(COUNTRY = IRELD),10.0,0.0)""",[]
$tkISRAL,"""if(screen(COUNTRY = ISRAL),40.0,0.0)""",[]
$tkITALY,"""if(screen(COUNTRY = ITALY),25.0,0.0)""",[]
$tkJAPAN,"""if(screen(COUNTRY = JAPAN),25.0,0.0)""",[]
$tkNETHR,"""if(screen(COUNTRY = NETHR),25.0,0.0)""",[]
$tkNEWZE,"""if(screen(COUNTRY = NEWZE),25.0,0.0)""",[]
$tkNORWA,"""if(screen(COUNTRY = NORWA),25.0,0.0)""",[]
$tkPORTU,"""if(screen(COUNTRY = PORTU),40.0,0.0)""",[]
$tkSINGA,"""if(screen(COUNTRY = SINGA),25.0,0.0)""",[]
$tkSPAIN,"""if(screen(COUNTRY = SPAIN),25.0,0.0)""",[]
$tkSWEDE,"""if(screen(COUNTRY = SWEDE),25.0,0.0)""",[]
$tkSWITZ,"""if(screen(COUNTRY = SWITZ),25.0,0.0)""",[]
$ticket,"""[$tkBRAZL] + [$tkCHILE] + [$tkCHINA] + [$tkCOLOM] + [$tkCZECH] + [$tkEGYPT] + [$tkHONGK] + [$tkHUNGR] + [$tkINDIA] + [$tkINDON] + [$tkMALAY] + [$tkMEXIC] + [$tkMOROC] + [$tkPHILI] + [$tkPOLND] + [$tkRUSSI] + [$tkSAFR] + [$tkKOREA] + [$tkTAIWN] + [$tkTHAI] + [$tkTURKY] + [$tkUK] + [$tkUS] + [$tkASTRL] + [$tkASTRI] + [$tkBELGM] + [$tkCANAD] + [$tkDNMRK] + [$tkFINLD] + [$tkFRANC] + [$tkGERMN] + [$tkGREEC] + [$tkIRELD] + [$tkISRAL] + [$tkITALY] + [$tkJAPAN] + [$tkNETHR] + [$tkNEWZE] + [$tkNORWA] + [$tkPORTU] + [$tkSINGA] + [$tkSPAIN] + [$tkSWEDE] + [$tkSWITZ]""","['$tkASTRI' '$tkASTRL' '$tkBELGM' '$tkBRAZL' '$tkCANAD' '$tkCHILE'
 '$tkCHINA' '$tkCOLOM' '$tkCZECH' '$tkDNMRK' '$tkEGYPT' '$tkFINLD'
 '$tkFRANC' '$tkGERMN' '$tkGREEC' '$tkHONGK' '$tkHUNGR' '$tkINDIA'
 '$tkINDON' '$tkIRELD' '$tkISRAL' '$tkITALY' '$tkJAPAN' '$tkKOREA'
 '$tkMALAY' '$tkMEXIC' '$tkMOROC' '$tkNETHR' '$tkNEWZE' '$tkNORWA'
 '$tkPHILI' '$tkPOLND' '$tkPORTU' '$tkRUSSI' '$tkSAFR' '$tkSINGA'
 '$tkSPAIN' '$tkSWEDE' '$tkSWITZ' '$tkTAIWN' '$tkTHAI' '$tkTURKY' '$tkUK'
 '$tkUS']"
$nonGCe5,"""if(screen($nonGCc = 0 & $nonGCc on PDD-1 = 0 & $nonGCc on PDD-2 = 0 & $nonGCc on PDD-3 = 0 & $nonGCc on PDD-4 = 0),0.0,1.0)""",['$nonGCc']
$mmcadj,"""[MMCADJ]""",[]
$tbEGYPT,"""if(screen(COUNTRY = EGYPT),10.0,0.0)""",[]
$tsEGYPT,"""if(screen(COUNTRY = EGYPT),10.0,0.0)""",[]
$ss59fcst,"""[$sc59fcst] x 50.0""",['$sc59fcst']
$ss50fcst,"""[$sc50fcst] x 50.0""",['$sc50fcst']
$GIJsize,"""if(screen(HOLDINGS in GIJLUNI2 > 0),1.0,0.0)""",[]
$GIEsize,"""if(screen(HOLDINGS in GIELUNIV > 0),1.0,[$NA])""",['$NA']
