ItemName,Function,adjacentFunc
$liqratio,"""[HOLDINGS in TKPEPLUS] / (100.0 x ([AVGVOL 30 lo:5]))""",[]
$invpval,"""1.0 / [PMKVAL group: $gregion3 total within portfolio: ID401]""",['$gregion3']
$lqratio2,"""[HOLDINGS in ACCTTKPE] / (100.0 x ([AVGVOL 30 lo:5]))""",[]
$salgrw5d,"""if(screen( $qsales on PDY-5 <> 0 | $qsales on PDY-5 <> N.A.),(log([$qsales] / [$qsales on PDY-5]) / 5.0),if(screen( $qsales on PDY-4 <> 0 | $qsales on PDY-4 <> N.A.),(log([$qsales] / [$qsales on PDY-4]) / 4.0),if(screen( $qsales on PDY-3 <> 0 | $qsales on PDY-3 <> N.A.),(log([$qsales] / [$qsales on PDY-3]) / 3.0),(log([$qsales] / [$qsales on PDY-3]) / 3.0))))""",['$qsales']
$niflag,"""if(screen( $qni < 0 | $qni on PDY-1 < 0 | $qni on PDY-2 < 0 | $qni on PDY-3 < 0),0.0,1.0)""",['$qni']
$isinq1,"""[$slsgrq1r] - [$salgrw5d]""",['$salgrw5d' '$slsgrq1r']
$isinq3,"""[$salgrw5d] - [$slsgrq3r]""",['$salgrw5d' '$slsgrq3r']
$tceminh,"""([$tcs1] + [$tcs2]) / ([$ciqmcap2] x 1000000.0)""",['$ciqmcap2' '$tcs1' '$tcs2']
$siukfcst,"""if([$gl1dfcst],[$gl1dfcst],[$eu12fcst])""",['$eu12fcst' '$gl1dfcst']
$nsk3YMom,"""if(screen(HOLDINGS in MLMUNIV > 0),[$ng13ymom],[$ne53ymom])""",['$ne53ymom' '$ng13ymom']
$nSK1yMom,"""if(screen(HOLDINGS in MLMUNIV > 0),[$ng1mom],[$ne5mom])""",['$ne5mom' '$ng1mom']
$nSKSTMom,"""if(screen(HOLDINGS in MLMUNIV > 0),[$ng1stmom],[$ne5stmom])""",['$ne5stmom' '$ng1stmom']
$TWEstEGr,"""(([$Emntwest] - ([$SUM4Q] | [$LACTEPS])) / (abs([$SUM4Q] | [$LACTEPS]))) x 100.0""",['$Emntwest' '$LACTEPS' '$SUM4Q']
$Edasiz90,"""if(screen(HOLDINGS in EACUNIV2 > 0),if(screen( cpmkval of MCAP on LEY-1 within portfolio: EACUNIV2 >= 90.000 | brank by MCAP on LEY-1 within portfolio: EACUNIV2 <= 800),0.0,1.0),pow(-1.0,37.0))""",[]
$qsp,"""[$qsales] / [$ciqmcap2]""",['$ciqmcap2' '$qsales']
$ea06fcst,"""if([$ea05fcst],[$ea05fcst],[$ea04fcst])""",['$ea04fcst' '$ea05fcst']
$Jdasiz90,"""if(screen(HOLDINGS in JACUNIV > 0),if(screen( {cpmkval of MCAP on LEY-1 within portfolio: JACUNIV >= 90.000 | brank by MCAP on LEY-1 within portfolio: JACUNIV <= 800 | MCAP on LEY-1 = N.A.} & $MSJflagL = NO),0.0,1.0),[$NA])""",['$MSJflagL' '$NA']
$ja03fcst,"""if([$ja02fcst],[$ja02fcst],[$ja01fcst])""",['$ja01fcst' '$ja02fcst']
$cshtrday,"""[$cshtrm] / 22.0""",['$cshtrm']
$USdasize,"""if(screen(HOLDINGS in USACUNIV > 0),if(screen(rank by MCAP on LEY-1 within portfolio: USACUNIV <= 750),1.0,0.0),[$NA])""",['$NA']
$Gdasize,"""if(screen( HOLDINGS in EACUNIV > 0 | HOLDINGS in JACUNIV > 0 | HOLDINGS in USACUNIV > 0),if(screen( $Edasiz90 = 0 | $Jdasiz90 = 0 | $USdasize = 0),0.0,1.0),[$NA])""",['$Edasiz90' '$Jdasiz90' '$NA' '$USdasize']
$GDAfcst,"""if(screen(HOLDINGS in EACUNIV > 0),[$ea06fcst],if(screen(HOLDINGS in JACUNIV > 0),[$ja03fcst],if(screen(HOLDINGS in USACUNIV > 0),[$da05fcst],pow(-1.0,37.0))))""",['$da05fcst' '$ea06fcst' '$ja03fcst']
$dasize,"""if(screen(HOLDINGS in T3000EXT > 0),if(screen(rank by MCAP on LEY-1 within portfolio: T3000EXT <= 750),1.0,0.0),[$NA])""",['$NA']
$e19cfcst,"""if([$e19bfcst],[$e19bfcst],[$e19afcst])""",['$e19afcst' '$e19bfcst']
$ja06fcst,"""if([$ja05fcst],[$ja05fcst],[$ja04fcst])""",['$ja04fcst' '$ja05fcst']
$IBESFEGR,"""(([$Gmntwest] - [$SUM4Q]) / (abs([$SUM4Q]))) x 100.0""",['$Gmntwest' '$SUM4Q']
$Pdasiz90,"""if(screen(HOLDINGS in PACUNIV > 0),if(screen( cpmkval of MCAP on LEY-1 within portfolio: PACUNIV >= 90.000 | brank by MCAP on LEY-1 within portfolio: PACUNIV <= 400),0.0,1.0),[$NA])""",['$NA']
$Cdasiz90,"""if(screen(HOLDINGS in CACUNIV > 0),if(screen( cpmkval of MCAP on LEY-1 within portfolio: CACUNIV >= 90.000 | brank by MCAP on LEY-1 within portfolio: CACUNIV <= 125),0.0,1.0),[$NA])""",['$NA']
$Gdasiz90,"""[$NAdasize] | [$Edasiz92] | [$EMDASIZE] | [$Jdasiz90] | [$Pdasiz90] | [$NA]""",['$EMDASIZE' '$Edasiz92' '$Jdasiz90' '$NA' '$NAdasize' '$Pdasiz90']
$EMdasz95,"""if(screen(HOLDINGS in EMACUNIV > 0),if(screen(cpmkval of MCAP on LEY-1 within portfolio: EMACUNIV >= 95.000),0.0,1.0),[$NA])""",['$NA']
$1mRetAdj,"""[$1mRett] - screen($1mRett = group: MSINDGRP wtd_mean within portfolio: MEMERGEF INDEX)""",['$1mRett']
$acd3fcst,"""if([$acd2fcst],[$acd2fcst],[$acd1fcst])""",['$acd1fcst' '$acd2fcst']
$zeros,"""0.0000000001""",[]
$ones,"""1.00""",[]
$lcm6mom2,"""log(1.0 + (0.010 x [RETT from PDM-6 to PD]))""",[]
$roundlot,"""if(screen(HOLDINGS in ROUNDLOT = 500),500.0,if(screen(HOLDINGS in ROUNDLOT = 1000),1000.0,[HOLDINGS in ROUNDLOT]))""",[]
$MSELflag,"""if(screen( HOLDINGS in MEURO14 INDEX > 0 & rankg group: CID by $cshtrm2 within self = 1),1.0,0.0)""",['$cshtrm2']
$ITGqn3w,"""[$itgr503] | [$itgr503p]""",['$itgr503' '$itgr503p']
$emqnp3,"""[$ITGqn3w] | [$ITGqn3w on PDD-5] | [$ITGqn3w on PDD-10] | [$ITGqn3w on PDD-15] | [$ITGqn3w on PDD-20] | [$itgr503 high within portfolio: GIAAUNIV]""",['$ITGqn3w' '$itgr503']
$emqnp3w,"""if(screen($emqnp3 > 20000),20000.0,if(screen($emqnp3 < 0),[$emqnp3 mean within portfolio: GIAAUNIV],[$emqnp3]))""",['$emqnp3']
$gbc4fcst,"""[$gd12fcst] x 0.60 + [$gd1bf100] x 0.40""",['$gd12fcst' '$gd1bf100']
$EMDASIZE,"""if(screen(HOLDINGS in MEMERGEF INDEX > 0),1.0,[$NA])""",['$NA']
$lapjshrt,"""if(screen(HOLDINGS in ACCTLAPJ < 0),[HOLDINGS in ACCTLAPJ],0.0)""",[]
$lapjlong,"""if(screen(HOLDINGS in ACCTLAPJ > 0),[HOLDINGS in ACCTLAPJ],0.0)""",[]
